hip_id,ra_degrees,dec_degrees,magnitude
11029,35.506,-10.7773,5.43
11033,35.5207,-17.662,5.89
11043,35.5488,-43.1999,6.3
11046,35.5517,-0.8847,5.42
11060,35.5893,55.8457,5.16
11072,35.6351,-23.8163,5.19
11090,35.7098,41.3965,5.81
11095,35.7186,-73.6458,5.99
11102,35.7277,-51.0923,5.9
11108,35.7398,-18.3547,6.22
11121,35.7775,-37.5761,6.47
11174,35.9656,55.3649,6.29
11212,36.0837,-25.8475,6.45
11220,36.1037,50.0066,5.19
11231,36.1404,-40.8407,6.17
11249,36.2044,10.6106,5.48
11258,36.225,-60.3116,5.36
11261,36.2433,-2.78,6.34
11279,36.3168,56.6098,6.25
11293,36.3604,-66.494,6.39
11313,36.4058,50.2787,4.73
11345,36.4876,-12.2905,4.88
11348,36.5016,-15.3411,5.88
11381,36.6465,-20.0429,5.89
11407,36.7463,-47.7038,4.24
11415,36.7802,27.0126,6.14
11427,36.8482,10.1988,6.45
11432,36.8658,31.8013,5.55
11465,36.9656,50.5702,6.16
11474,36.9997,1.9609,6.45
11477,37.007,-33.8111,5.13
11479,37.0181,-64.2998,6.35
11484,37.0397,8.4601,4.3
11486,37.0416,29.6695,5.29
11524,37.1477,-31.1024,6.11
11548,37.2022,29.9316,5.89
11569,37.2666,67.4024,4.46
11578,37.3068,23.4691,6.2
11603,37.3973,9.5656,6.09
11644,37.557,-25.1865,6.5
11651,37.569,33.8338,6.26
11670,37.6346,25.2352,5.88
11671,37.6366,-22.5452,6.17
11678,37.6599,19.8554,6.14
11687,37.6885,0.2559,6.0
11698,37.7266,17.7041,6.21
11738,37.8753,2.2672,5.27
11757,37.9172,-79.1092,5.27
11767,37.9461,89.2641,1.97
11783,38.022,-15.2443,4.74
11784,38.0256,36.1472,5.15
11791,38.0393,-1.0348,5.36
11802,38.0613,-36.4273,6.28
11840,38.2194,34.5425,5.84
11843,38.2256,15.0345,6.0
11867,38.2793,-34.6499,5.91
11907,38.4177,-20.0017,6.19
11918,38.4613,-28.2323,4.96
